Code,60 Days,120 Days,1 Year
PRDO,0.30605212645405994,0.28325295250430305,0.9221278695777957
ATAT,-0.013179571663921032,0.008983717012914103,0.0641447758012174
CRTO,0.08075601374570447,0.44819646968534166,0.10512445095168385
STG,-0.2849949647532729,-0.21198668146503888,1.2756410256410255
PRG,0.12465424480987261,0.20950211009084338,0.13026105975720778
HTHT,-0.08991554893194231,0.15802781289506954,-0.07877434748611496
LOCO,0.18429661941112319,0.21476510067114093,0.174054054054054
WPP,0.12870512898072403,0.07654317293965786,0.0033761308544499064
GHG,-0.16451612903225812,-0.11904761904761908,-0.3847980997624703
GSL,0.43443707971715606,0.5102218708506909,0.7600226794868767
STCN,0.145144076840982,0.1791208791208792,0.41931216931216947
M,0.021724829786534228,0.033073929961089606,0.307340511345702
DXC,-0.24736842105263152,-0.25941619585687375,-0.3728070175438596
KSS,-0.07162273492503816,-0.04751696597006158,0.27585735382595844
GSPC,0.026458974862109824,0.0689061066699691,0.2362329220668307
